symbol,return,price,avg_vol,sector,market_cap
AIIL.NS,6.26,544.35,1288604,Financial Services,39781.0
ALLTIME.NS,5.23,221.15,177231,Consumer Defensive,1593.0
AWFIS.NS,17.47,293.2,4972755,Industrials,2535.0
BBOX.NS,7.51,800.8,747861,Technology,12014.0
BLACKBUCK.NS,7.21,628.15,1240025,Technology,10307.0
FILATEX.NS,14.64,87.41,8448569,Consumer Cyclical,2048.0
FINKURVE.NS,8.63,72.49,246356,Financial Services,1032.0
HLEGLAS.NS,10.0,404.35,824542,Industrials,2254.0
INNOVANA.NS,5.72,327.0,53525,Technology,828.0
KIRLOSIND.NS,7.03,3828.3,130979,Industrials,3443.0
MOBIKWIK.NS,7.72,209.7,4193448,Technology,1688.0
MONEYBOXX.NS,9.99,40.86,403743,Financial Services,511.0
MUKKA.NS,5.23,32.17,2314597,Consumer Defensive,726.0
NRAIL.NS,5.48,627.9,84790,Basic Materials,831.0
ORIENTTECH.NS,6.07,249.64,1793721,Technology,1261.0
PINELABS.NS,16.75,202.17,76480236,Technology,22485.0
PRIMO.NS,9.26,23.71,438068,Basic Materials,626.0
PWL.NS,7.39,136.1,16454529,Consumer Defensive,31596.0
QUADFUTURE.NS,9.8,478.5,2581505,Industrials,1262.0
RACLGEAR.NS,10.61,1756.7,265135,Consumer Cyclical,1509.0
RAYMOND.NS,17.44,1002.8,8054961,Industrials,3115.0
RPEL.NS,5.83,1845.2,171507,Basic Materials,3310.0
SMSPHARMA.NS,11.02,463.45,3198520,Healthcare,3900.0
SOLARA.NS,5.92,749.15,1176616,Healthcare,2554.0
SUBEXLTD.NS,5.26,20.8,21381287,Technology,554.0
TDPOWERSYS.NS,5.53,804.9,1975143,Industrials,18189.0
VENKEYS.NS,5.33,1787.2,122299,Consumer Defensive,2232.0
WSI.NS,5.25,61.92,70634,Industrials,556.0
YESBANK.NS,5.29,23.48,78659949,Financial Services,63514.0
