symbol,sector,market_cap
20MICRONS.NS,Basic Materials,631
21STCENMGM.NS,Financial Services,37
360ONE.NS,Financial Services,43059
3BBLACKBIO.NS,,0
3IINFOLTD.NS,Technology,362
3MINDIA.NS,Industrials,37799
3PLAND.NS,Unknown,0
5PAISA.NS,Financial Services,1609
63MOONS.NS,Technology,8444
A2ZINFRA.NS,Industrials,297
AAATECH.NS,Technology,128
AADHARHFC.NS,Financial Services,21621
AAKASH.NS,Energy,83
AAREYDRUGS.NS,Healthcare,257
AARNAV.NS,,0
AARON.NS,Industrials,287
AARTECH.NS,Industrials,154
AARTIDRUGS.NS,Healthcare,3510
AARTIIND.NS,Basic Materials,18681
AARTIPHARM.NS,Healthcare,6991
AARTISURF.NS,Basic Materials,356
AARVI.NS,Industrials,184
AAVAS.NS,Financial Services,10941
ABAN.NS,Energy,101
ABANSENT.NS,,0
ABB.NS,Industrials,153633
ABBOTINDIA.NS,Healthcare,54568
ABCAPITAL.NS,Financial Services,92609
ABCOTS.NS,Consumer Cyclical,479
ABDL.NS,Consumer Defensive,14768
ABFRL.NS,Consumer Cyclical,7752
ABINFRA.NS,Industrials,1016
ABLBL.NS,Consumer Cyclical,12616
ABMINTLLTD.NS,Basic Materials,41
ABMKNO.NS,,0
ABREL.NS,Real Estate,16706
ABSLAMC.NS,Financial Services,30016
ACC.NS,Basic Materials,26800
ACCELYA.NS,Technology,1716
ACCURACY.NS,Industrials,76
ACE.NS,Industrials,10613
ACEINTEG.NS,Industrials,22
ACI.NS,Basic Materials,7520
ACL.NS,Basic Materials,515
ACMESOLAR.NS,Utilities,18316
ACSTECH.NS,,0
ACUTAAS.NS,Basic Materials,21478
ADANIENSOL.NS,Utilities,168443
ADANIENT.NS,Energy,343558
ADANIGREEN.NS,Utilities,213045
ADANIPORTS.NS,Industrials,399967
ADANIPOWER.NS,Utilities,439710
ADFFOODS.NS,Consumer Defensive,2908
ADL.NS,Consumer Cyclical,43
ADOR.NS,Industrials,1849
ADROITINFO.NS,Technology,57
ADSL.NS,Technology,664
ADVAIT.NS,Industrials,2245
ADVANCE.NS,Basic Materials,714
ADVANIHOTR.NS,Consumer Cyclical,502
ADVENTHTL.NS,Consumer Cyclical,878
ADVENZYMES.NS,Basic Materials,4003
AEGISLOG.NS,Energy,25131
AEGISVOPAK.NS,Energy,21408
AEPL.NS,Industrials,466
AEQUS.NS,Industrials,12336
AEROENTER.NS,Basic Materials,1054
AEROFLEX.NS,Industrials,3968
AERONEU.NS,Consumer Cyclical,226
AETHER.NS,Basic Materials,16886
AFCONS.NS,Industrials,12363
AFFLE.NS,Communication Services,19743
AFFORDABLE.NS,Industrials,208
AFIL.NS,Financial Services,392
AFSL.NS,Financial Services,1027
AGARIND.NS,Basic Materials,633
AGARWALEYE.NS,Healthcare,14542
AGI.NS,Consumer Cyclical,4127
AGIIL.NS,Real Estate,5054
AGRITECH.NS,Consumer Defensive,65
AGROPHOS.NS,Basic Materials,63
AGSTRA.NS,Technology,33
AHCL.NS,Healthcare,704
AHLADA.NS,Industrials,60
AHLEAST.NS,Consumer Cyclical,278
AHLUCONT.NS,Industrials,6028
AHLWEST.NS,Consumer Cyclical,442
AIAENG.NS,Industrials,36940
AIIL.NS,Financial Services,39781
AIRAN.NS,Technology,211
AIROLAM.NS,Consumer Cyclical,129
AJANTPHARM.NS,Healthcare,36439
AJAXENGG.NS,Industrials,6063
AJMERA.NS,Real Estate,2494
AJOONI.NS,Consumer Defensive,74
AKASH.NS,Industrials,45
AKCAPIT.NS,,0
AKG.NS,Industrials,37
AKI.NS,Consumer Cyclical,53
AKSHAR.NS,Consumer Cyclical,37
AKSHARCHEM.NS,Basic Materials,163
AKSHOPTFBR.NS,Technology,96
AKUMS.NS,Healthcare,8520
ALANKIT.NS,Technology,252
ALBERTDAVD.NS,Healthcare,413
ALEMBICLTD.NS,Real Estate,2372
ALGOQUANT.NS,Financial Services,1545
ALICON.NS,Industrials,1202
ALIVUS.NS,Healthcare,13161
ALKALI.NS,Basic Materials,68
ALKEM.NS,Healthcare,64086
ALKYLAMINE.NS,Basic Materials,8233
ALLCARGO.NS,Industrials,1460
ALLDIGI.NS,Industrials,1262
ALLTIME.NS,Consumer Defensive,1593
ALMONDZ.NS,Financial Services,290
ALOKINDS.NS,Consumer Cyclical,7085
ALPA.NS,Healthcare,142
ALPHAGEO.NS,Energy,139
AMAGI.NS,Technology,9137
AMANTA.NS,Healthcare,547
AMBALALSA.NS,Healthcare,0
AMBER.NS,Consumer Cyclical,28068
AMBICAAGAR.NS,Consumer Defensive,40
AMBIKCO.NS,Consumer Cyclical,900
AMBUJACEM.NS,Basic Materials,111630
AMDIND.NS,Consumer Cyclical,88
