symbol,price,market_cap,sector
20MICRONS.NS,177.81,627,Basic Materials
21STCENMGM.NS,36.74,38,Financial Services
360ONE.NS,1040.0,42254,Financial Services
3BBLACKBIO.NS,1194.8,0,
3MINDIA.NS,33365.0,37585,Industrials
5PAISA.NS,343.5,1610,Financial Services
63MOONS.NS,746.0,8591,Technology
AAATECH.NS,99.41,127,Technology
AADHARHFC.NS,491.0,21393,Financial Services
AAREYDRUGS.NS,90.0,255,Healthcare
AARNAV.NS,23.35,0,
AARON.NS,138.01,289,Industrials
AARTECH.NS,48.49,154,Industrials
AARTIDRUGS.NS,377.0,3440,Healthcare
AARTIIND.NS,507.0,18407,Basic Materials
AARTIPHARM.NS,747.0,6772,Healthcare
AARTISURF.NS,409.0,346,Basic Materials
AARVI.NS,125.0,185,Industrials
AAVAS.NS,1384.0,10972,Financial Services
ABANSENT.NS,43.6,0,
ABB.NS,7259.0,153824,Industrials
ABBOTINDIA.NS,25410.0,53994,Healthcare
ABCAPITAL.NS,345.75,90604,Financial Services
ABCOTS.NS,223.5,490,Consumer Cyclical
ABDL.NS,533.7,14928,Consumer Defensive
ABFRL.NS,63.9,7772,Consumer Cyclical
ABLBL.NS,102.99,12509,Consumer Cyclical
ABMINTLLTD.NS,41.61,39,Basic Materials
ABMKNO.NS,226.95,0,
ABREL.NS,1488.9,16463,Real Estate
ABSLAMC.NS,1016.0,29372,Financial Services
ACC.NS,1417.9,26626,Basic Materials
ACCELYA.NS,1160.0,1731,Technology
ACE.NS,884.5,10527,Industrials
ACI.NS,605.0,7469,Basic Materials
ACL.NS,56.5,520,Basic Materials
ACMESOLAR.NS,301.4,18243,Utilities
ACSTECH.NS,38.35,0,
ACUTAAS.NS,2592.1,21221,Basic Materials
ADANIENSOL.NS,1344.95,161566,Utilities
ADANIENT.NS,2410.5,330466,Energy
ADANIGREEN.NS,1231.0,202767,Utilities
ADANIPORTS.NS,1675.5,386028,Industrials
ADANIPOWER.NS,222.08,428274,Utilities
